candidate_id,gender,race,age,education,experience_years,skill_score,interview_score,hired
1,Male,White,49,Bachelor,30,87.1,58.0,1
2,Non-binary,Black,28,PhD,1,62.7,80.6,1
3,Female,Hispanic,56,Bachelor,2,35.4,75.1,0
4,Female,Asian,49,Bachelor,25,41.6,89.1,1
5,Male,Asian,35,Master,23,34.3,99.7,1
6,Male,Asian,31,Master,29,65.0,54.1,1
7,Male,Asian,37,Bachelor,21,37.4,28.9,0
8,Female,Asian,37,Master,9,38.0,22.4,0
9,Female,White,52,Bachelor,8,95.9,78.2,0
10,Female,Black,63,Master,25,91.1,89.9,0
11,Male,White,46,Master,19,61.6,37.7,1
12,Non-binary,Hispanic,34,Master,7,99.0,32.7,0
13,Female,Hispanic,27,Master,9,30.0,25.0,0
14,Male,White,65,Bachelor,18,73.0,85.8,1
15,Male,Asian,30,Bachelor,2,73.1,44.9,0
16,Male,Hispanic,57,PhD,23,62.0,52.1,1
17,Male,White,64,Bachelor,4,57.8,60.2,0
18,Female,Black,41,PhD,2,61.9,87.2,1
19,Male,Hispanic,39,High School,25,59.0,72.1,0
20,Male,White,64,Master,26,81.1,69.2,1
21,Female,Asian,42,Master,15,39.5,34.1,0
22,Male,White,25,PhD,16,43.8,61.1,1
23,Male,Hispanic,54,Bachelor,14,42.6,77.2,1
24,Male,Hispanic,48,Master,2,48.4,97.9,0
25,Female,Hispanic,28,Bachelor,11,66.8,36.1,0
26,Female,Black,27,High School,8,37.8,20.8,0
27,Male,Hispanic,36,Master,20,90.8,26.0,1
28,Female,Asian,39,Master,11,50.8,50.1,0
29,Female,White,53,PhD,25,41.4,85.6,0
30,Male,Asian,32,Bachelor,14,77.3,20.6,1
31,Female,White,41,Bachelor,1,32.7,56.5,0
32,Male,Black,45,High School,22,73.4,46.3,1
33,Male,White,36,Bachelor,30,78.9,24.2,1
34,Non-binary,White,28,Bachelor,17,45.0,56.0,1
35,Non-binary,White,42,Master,19,32.9,40.4,1
36,Female,Asian,63,Bachelor,11,55.5,48.2,1
37,Male,White,47,PhD,22,36.9,76.4,1
38,Male,Asian,65,PhD,3,38.2,61.7,0
39,Female,White,35,Master,22,47.8,30.0,1
40,Male,White,58,PhD,15,50.7,96.9,1
41,Male,Black,42,Master,22,67.1,70.9,1
42,Female,Asian,39,Bachelor,15,77.5,81.3,0
43,Male,White,26,High School,0,71.5,26.3,0
44,Non-binary,Black,24,Bachelor,21,40.4,23.8,0
45,Male,Hispanic,44,Bachelor,24,42.0,21.6,0
46,Female,Black,47,Master,1,91.5,35.1,0
47,Male,White,58,Bachelor,29,69.1,53.2,1
48,Female,White,45,Master,2,90.9,94.9,1
49,Female,Hispanic,40,Master,25,56.0,56.6,1
50,Male,White,46,High School,20,73.0,43.2,1
51,Non-binary,Hispanic,42,PhD,24,66.7,65.0,0
52,Female,Black,33,Bachelor,19,52.3,29.0,1
53,Non-binary,Hispanic,62,Bachelor,16,62.9,68.8,0
54,Female,Asian,54,Master,19,65.2,65.5,1
55,Female,Hispanic,25,High School,21,44.1,83.4,0
56,Non-binary,White,63,Master,20,52.1,98.9,1
57,Male,Asian,28,Bachelor,29,85.4,40.1,1
58,Male,Black,43,Bachelor,28,94.1,60.8,1
59,Male,Black,54,PhD,0,55.2,92.7,0
60,Male,Black,38,Bachelor,19,51.5,82.8,0
61,Male,Hispanic,45,Bachelor,5,43.7,59.0,0
62,Male,Hispanic,55,Bachelor,28,77.5,95.6,1
63,Female,Asian,49,PhD,14,52.6,24.6,0
64,Male,Black,64,High School,25,99.1,94.5,1
65,Male,Black,62,Bachelor,25,52.8,24.0,1
66,Female,Asian,60,High School,13,57.6,63.8,1
67,Male,White,43,High School,19,72.2,91.2,1
68,Female,White,38,Master,14,86.1,41.0,1
69,Male,White,55,Master,13,62.9,57.8,1
70,Non-binary,White,27,Bachelor,24,59.6,45.9,1
71,Female,White,27,Master,20,99.7,96.2,1
72,Male,White,55,Bachelor,23,30.7,85.9,1
73,Male,White,22,PhD,24,92.7,76.7,1
74,Female,White,31,PhD,25,40.4,67.0,1
75,Female,Hispanic,42,Bachelor,4,85.0,85.6,1
76,Female,Black,26,Master,5,73.3,51.4,0
77,Female,White,23,Master,16,53.9,55.8,1
78,Male,Asian,43,Bachelor,10,91.2,78.4,1
79,Male,White,23,Bachelor,15,30.9,48.6,0
80,Male,Hispanic,31,Bachelor,11,45.9,25.1,1
81,Female,Asian,55,Master,14,69.7,25.9,0
82,Female,White,37,PhD,22,54.6,29.2,1
83,Male,Black,60,Master,3,72.7,89.6,1
84,Male,Hispanic,43,Master,26,31.7,57.8,1
85,Male,Hispanic,33,Master,17,38.2,77.0,1
86,Male,Black,45,Master,20,38.9,51.4,1
87,Female,Black,61,Master,27,43.2,40.7,0
88,Female,White,59,Bachelor,2,62.2,47.8,0
89,Female,Hispanic,31,Bachelor,21,82.6,83.5,0
90,Female,White,56,Master,7,93.4,70.0,1
91,Male,Hispanic,53,High School,22,88.5,95.0,1
92,Female,Black,28,Master,2,43.8,74.4,0
93,Female,Black,42,High School,7,60.9,65.6,0
94,Female,Black,41,Bachelor,17,44.0,68.8,0
95,Female,White,47,Master,9,48.5,95.4,0
96,Female,White,25,Bachelor,24,65.2,83.1,0
97,Female,White,43,Bachelor,19,34.8,21.9,0
98,Male,White,36,Bachelor,16,45.3,62.7,1
99,Male,Asian,61,Master,7,95.5,75.1,1
100,Male,White,42,High School,22,62.6,79.9,0
101,Male,White,36,PhD,10,61.2,37.1,1
102,Female,Hispanic,43,High School,28,31.0,89.4,1
103,Male,Hispanic,49,PhD,4,47.3,96.5,1
104,Female,Hispanic,35,PhD,25,90.6,38.9,0
105,Non-binary,Hispanic,48,Bachelor,12,41.5,90.6,1
106,Male,White,62,Bachelor,20,59.1,27.8,1
107,Male,White,61,Bachelor,22,31.0,24.5,0
108,Female,Asian,49,Master,4,63.5,30.3,0
109,Male,Asian,47,High School,23,31.5,24.6,1
110,Male,White,23,High School,26,87.4,87.6,1
111,Male,Asian,46,High School,12,87.7,24.7,0
112,Male,White,24,Bachelor,5,85.1,41.7,0
113,Non-binary,White,29,Bachelor,28,49.8,28.3,1
114,Female,Black,65,Master,4,88.6,43.6,0
115,Female,Black,54,PhD,8,68.0,27.2,0
116,Female,Black,63,Bachelor,26,56.2,73.4,0
117,Female,White,56,Bachelor,15,73.8,30.7,0
118,Male,Hispanic,27,Bachelor,1,30.9,88.1,1
119,Female,White,60,Master,0,40.0,85.4,1
120,Female,White,44,PhD,7,82.0,21.1,0
121,Female,Hispanic,46,Master,27,47.1,91.7,1
122,Female,Hispanic,64,PhD,18,71.9,22.3,1
123,Male,Hispanic,40,High School,29,57.0,39.2,1
124,Male,Asian,26,Master,10,89.8,22.6,0
125,Male,Asian,32,Master,27,96.7,46.9,1
126,Male,Black,33,Bachelor,11,91.8,61.1,1
127,Female,White,31,PhD,11,48.9,83.7,1
128,Female,Black,29,High School,6,43.6,47.0,0
129,Male,White,45,Master,25,63.2,76.4,1
130,Female,White,49,Bachelor,12,30.5,35.0,1
131,Male,Asian,62,Bachelor,26,31.8,80.0,1
132,Male,Black,57,Master,7,68.7,38.9,0
133,Male,White,58,Bachelor,30,66.4,31.5,1
134,Male,White,42,Bachelor,28,99.6,34.8,1
135,Non-binary,Asian,29,Bachelor,28,44.1,34.6,0
136,Male,White,30,Master,21,48.1,61.0,1
137,Female,Hispanic,36,High School,27,37.9,87.6,0
138,Female,Black,61,Bachelor,25,94.2,26.4,1
139,Male,Black,39,PhD,29,84.4,76.6,1
140,Non-binary,Black,63,Master,8,87.6,72.3,1
141,Non-binary,Asian,41,Bachelor,6,93.2,89.8,1
142,Male,White,27,Master,30,66.7,39.5,1
143,Female,Asian,33,Master,25,61.6,56.0,0
144,Male,Black,23,Master,20,53.1,94.1,1
145,Male,White,28,Bachelor,23,71.2,72.8,1
146,Male,Hispanic,37,Bachelor,14,61.8,51.1,1
